0,0,0
1,2,634
2,4,958
3,1,913
4,2,1044
5,5,1033
6,15,922
7,11,990
8,21,943
9,13,1035
10,14,1002
11,24,1004
12,22,1023
13,25,984
14,26,1009
15,28,1060
16,35,1050
17,42,1063
18,30,1008
19,34,973
20,28,1028
21,28,1062
22,41,1080
23,40,1045
24,29,1006
25,43,920
26,30,972
27,43,969
28,41,973
29,42,1069
30,47,977
31,42,1060
32,43,1018
33,49,934
34,50,954
35,53,960
36,44,1074
37,51,1041
38,38,1026
39,49,1033
40,44,955
41,41,940
42,51,1012
43,44,1050
44,40,1076
45,47,1053
46,38,1064
47,29,1016
48,33,972
49,55,985
50,43,1001
